mz,rt,intensity,CCS,Compound,NeutralFormula,CAS,SuperClass,Class,Subclass
789.4523,1472,2227,277.2,PG 34:03,C40H73O10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols
791.4673,1503,14995,279.2,PG 34:02,C40H75O10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols
793.4833,214,11472,280.5,PG 34:01,C40H77O10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols
815.4687,209,2990,283.6,PG 36:04,C42H75O10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols
817.483,455,8785,285,PG 36:03,C42H77O10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols
819.4987,128,9932,286.6,PG 36:02,C42H79O10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols
821.5142,770,9557,288.2,PG 36:01,C42H81O10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols
841.4809,948,10556,289.1,PG 38:05,C44H77O10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols
843.4967,1348,10079,290.2,PG 38:04,C44H79O10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols
769.4861,1039,14036,277.4,PG 34:02,C40H75O10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols
771.5012,311,11396,279.3,PG 34:01,C40H77O10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoglycerols
807.5033,867,13690,281.1,PI 32:01,C41H77O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
809.5186,742,5383,282.3,PI 32:00,C41H79O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
831.5035,292,1002,285.1,PI 34:03,C43H77O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
833.5186,132,14763,284.8,PI 34:02,C43H79O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
835.5335,677,2983,286.4,PI 34:01,C43H81O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
855.5029,1159,12562,289,PI 36:05,C45H77O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
857.5188,1547,2659,289.4,PI 36:04,C45H79O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
859.5337,512,10588,290.8,PI 36:03,C45H81O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
861.5525,722,6056,292,PI 36:02,C45H83O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
863.5646,990,6200,293.3,PI 36:01,C45H85O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
881.5187,772,14004,294.2,PI 38:06,C47H79O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
883.5344,1224,12110,295.4,PI 38:05,C47H81O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
885.5545,1090,12513,296.4,PI 38:04,C47H83O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
887.5678,582,14069,297.3,PI 38:03,C47H85O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
905.522,598,11369,299.1,PI 40:08,C49H79O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
907.5337,1129,331,299.9,PI 40:07,C49H81O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
909.5507,344,2709,300.8,PI 40:06,C49H83O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
911.5655,611,9320,301.6,PI 40:05,C49H85O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
913.5807,878,6375,302.8,PI 40:04,C49H87O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
595.2891,1239,10566,235,PI 18:02,C27H48O12P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
597.304,1693,3500,236.7,PI 18:01,C27H50O12P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
599.3199,745,784,238.4,PI 18:00,C27H52O12P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
619.2878,103,11746,239.8,PI 20:04,C29H48O12P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
845.5208,1325,8186,288.1,PI 35:03,C44H79O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
847.5349,1113,1710,288.4,PI 35:02,C44H81O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
849.5497,428,14519,289.8,PI 35:01,C44H83O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
871.5361,1467,5255,293,PI 37:04,C46H81O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
873.5494,511,11935,293.5,PI 37:03,C46H83O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
875.564,742,10381,295.1,PI 37:02,C46H85O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
877.5777,166,3276,296.5,PI 37:01,C46H87O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
897.5537,382,2031,298.6,PI 39:05,C48H83O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
899.5668,730,107,299.6,PI 39:04,C48H85O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
901.58,612,2073,300.7,PI 39:03,C48H87O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
903.5904,101,10774,301.7,PI 39:02,C48H89O13P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols
777.542,921,9891,265.5,d7-PS (15:0/18:1),C39H66D7NNaO10P,2260669-40-5,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
790.5539,136,10017,284.1,PS 36:00,C42H82NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
788.5477,1563,3845,283,PS 36:01,C42H80NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
786.5325,1451,8878,281.8,PS 36:02,C42H78NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
814.5598,422,6935,287.6,PS 38:02,C44H82NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
812.5444,951,6941,286.4,PS 38:03,C44H80NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
808.5139,328,10554,283.4,PS 38:05,C44H76NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
838.5602,1754,13353,291.3,PS 40:04,C46H82NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
836.5461,1172,6972,290.2,PS 40:05,C46H80NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
834.5323,731,2330,289.1,PS 40:06,C46H78NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
832.5163,1280,11633,287.8,PS 40:07,C46H76NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
858.5239,246,4838,292.3,PS 42:08,C48H78NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
856.5124,1740,14412,290.7,PS 42:09,C48H76NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
810.5303,115,554,285.3,PS 38:04,C44H78NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
804.5131,156,1769,284.6,PS (O-35:02),C41H78NO9P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
806.4924,465,9344,283,PS 34:01,C40H76NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
834.5237,957,4940,290.2,PS 36:01,C42H80NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
832.508,635,6284,288.2,PS 36:02,C42H78NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
828.4767,1051,12206,283.8,PS 36:04,C42H74NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
848.5393,480,12255,295.8,PS 37:01,C43H82NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
846.5237,957,1539,291.6,PS 37:02,C43H80NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
842.4924,886,12500,288.1,PS 37:04,C43H76NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
862.555,295,8284,297.7,PS 38:01,C44H84NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
860.5393,385,2745,294.8,PS 38:02,C44H82NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
856.508,957,945,291,PS 38:04,C44H78NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
854.4924,1483,10462,287.9,PS 38:05,C44H76NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
870.5237,131,3710,294.3,PS 39:04,C45H80NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
890.5863,718,6117,303.5,PS 40:01,C46H88NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
888.5706,1210,4092,301.8,PS 40:02,C46H86NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
884.5393,301,13523,300.6,PS 40:04,C46H82NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
882.5237,1271,13202,299.5,PS 40:05,C46H80NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
880.508,744,7808,298,PS 40:06,C46H78NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
878.4924,508,7944,292.4,PS 40:07,C46H76NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
876.4767,1144,3143,290.3,PS 40:08,C46H74NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
874.4611,1425,2871,287.1,PS 40:09,C46H72NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
896.5393,270,8938,300.8,PS 41:05,C47H82NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
894.5237,1437,12701,298.5,PS 41:06,C47H80NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
916.6019,282,13722,308.5,PS 42:02,C48H90NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
912.5706,619,2964,306.6,PS 42:04,C48H86NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
910.555,1098,13512,302.5,PS 42:05,C48H84NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
908.5393,1402,3216,299.8,PS 42:06,C48H82NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
906.5237,1639,3012,298.7,PS 42:07,C48H80NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
904.508,683,8635,297.6,PS 42:08,C48H78NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
902.4924,754,4771,294.9,PS 42:09,C48H76NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
938.5863,1220,2112,309.3,PS 44:05,C50H88NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
934.555,935,10937,305.5,PS 44:07,C50H84NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
932.5393,331,6508,303.6,PS 44:08,C50H82NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
790.5598,449,14589,285.6,PS 36:01,C42H80NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
788.5441,1673,14243,283.1,PS 36:02,C42H78NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
818.5911,306,11582,291.9,PS 38:01,C44H84NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
816.5754,593,9345,290,PS 38:02,C44H82NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
812.5441,1543,9325,286.7,PS 38:04,C44H78NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
810.5285,133,11502,283.9,PS 38:05,C44H76NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
846.6224,705,7244,298.3,PS 40:01,C46H88NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
844.6067,1229,13850,296.3,PS 40:02,C46H86NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
842.5911,1096,13711,294.9,PS 40:03,C46H84NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
840.5754,1785,6083,293.5,PS 40:04,C46H82NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
838.5598,504,6090,291.9,PS 40:05,C46H80NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
836.5441,863,13444,290,PS 40:06,C46H78NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
874.6537,907,14285,304.3,PS 42:01,C48H92NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
872.638,968,11533,301.9,PS 42:02,C48H90NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
870.6224,814,14122,300.4,PS 42:03,C48H88NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
868.6067,1171,4677,298.7,PS 42:04,C48H86NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
866.5911,922,7685,297.6,PS 42:05,C48H84NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
828.5157,1322,12224,289.8,PS 36:01,C42H80NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
826.5,728,4164,287.5,PS 36:02,C42H78NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
850.5,1338,3253,291.7,PS 38:04,C44H78NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
848.4844,345,6741,288.9,PS 38:05,C44H76NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
878.5313,1183,3340,297.8,PS 40:04,C46H82NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
876.5157,297,9607,296.6,PS 40:05,C46H80NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
874.5,595,469,295.1,PS 40:06,C46H78NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
896.4844,533,5206,296.9,PS 42:09,C48H76NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
864.573,302,11338,298.6,PS 40:03,C46H84NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
862.5574,253,5414,297.6,PS 40:04,C46H82NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
860.5417,466,2787,296.1,PS 40:05,C46H80NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
858.5261,1184,198,294,PS 40:06,C46H78NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
856.5104,1696,5592,291.9,PS 40:07,C46H76NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
896.6356,1351,8386,305.7,PS 42:01,C48H92NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
894.62,1472,2556,304.4,PS 42:02,C48H90NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
890.5887,1795,4161,301.2,PS 42:04,C48H86NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
888.573,1629,14869,300,PS 42:05,C48H84NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
906.5261,856,1899,299.2,PS 44:10,C50H78NO10P,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoserines
132.9054,496,9710,101,Cesium,Cs,,Homogeneous metal compounds,Homogeneous alkali metal compounds,
103.0405,998,14966,120.5,2-Hydroxybutyrate,C4H8O3,5094-24-6,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives
89.0239,984,2075,151.9,L-(+)-Lactic Acid,C3H6O3,79-33-4,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives
103.0395,1012,14999,137.1,DL-beta-Hydroxybutyric Acid,C4H8O3,150-83-4,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives
133.0137,663,13018,116.3,D-(+)-Malate,C4H6O5,636-61-3,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives
133.0147,724,2889,116.3,L-(-)-Malate,C4H6O5,97-67-6,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives
187.1359,1227,1856,144.5,10-Hydroxydecanoate,C10H20O3,1679-53-4,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives
211.132,1237,9646,151.2,10-Hydroxydecanoate,C10H20O3,1679-53-4,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives
215.1663,300,6764,152.7,omega-Hydroxydodecanoate,C12H24O3,505-95-3,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives
239.1627,789,12153,160.3,omega-Hydroxydodecanoate,C12H24O3,505-95-3,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives
359.0369,357,13378,175.5,Aicar,C9H15N4O8P,3031-94-5,"Nucleosides, nucleotides, and analogues",Imidazole ribonucleosides and ribonucleotides,1-ribosyl-imidazolecarboxamides
337.0552,957,5356,170.5,Aicar,C9H15N4O8P,3031-94-5,"Nucleosides, nucleotides, and analogues",Imidazole ribonucleosides and ribonucleotides,1-ribosyl-imidazolecarboxamides
339.0708,124,5537,171.9,Aicar,C9H15N4O8P,3031-94-5,"Nucleosides, nucleotides, and analogues",Imidazole ribonucleosides and ribonucleotides,1-ribosyl-imidazolecarboxamides
361.0504,222,3635,168.9,Aicar,C9H15N4O8P,3031-94-5,"Nucleosides, nucleotides, and analogues",Imidazole ribonucleosides and ribonucleotides,1-ribosyl-imidazolecarboxamides
282.0855,1717,3708,163,Guanosine,C10H13N5O5,118-00-3,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
119.0401,382,4822,114.6,Purine,C5H4N4,120-73-0,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
121.0519,1714,7068,121.7,Purine,C5H4N4,120-73-0,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
202.111,731,8979,150.8,N6-(delta2-Isopentenyl)-adenine,C10H13N5,2365-40-4,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
204.124,522,2282,145.4,N6-(delta2-Isopentenyl)-adenine,C10H13N5,2365-40-4,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
165.0255,219,14240,128,Thiopurine-(S)-methylether,C6H6N4S,50-66-8,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
167.0387,581,11002,130,Thiopurine-(S)-methylether,C6H6N4S,50-66-8,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
189.0201,1173,1196,145.7,Thiopurine-(S)-methylether,C6H6N4S,50-66-8,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
148.0623,1249,6915,130.5,1-Methyladenine,C6H7N5,5142-22-3,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
150.078,1282,6848,127.5,1-Methyladenine,C6H7N5,5142-22-3,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
150.0769,1689,11244,126.5,3-Methyladenine,C6H7N5,5142-23-4,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
164.0572,1075,7934,136.1,7-Methylguanine,C6H7N5O,578-76-7,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
166.0729,1522,14987,133.4,7-Methylguanine,C6H7N5O,578-76-7,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
188.0548,198,2722,148.8,7-Methylguanine,C6H7N5O,578-76-7,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
217.0701,994,8442,142,Caffeine,C8H10N4O2,1958-08-02,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
195.0861,789,5395,140.2,Caffeine,C8H10N4O2,1958-08-02,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
179.0576,498,14852,133.6,Theophylline,C7H8N4O2,58-55-9,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
181.0709,1294,13742,140.9,Theophylline,C7H8N4O2,58-55-9,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
203.053,1129,2793,147.7,Theophylline,C7H8N4O2,58-55-9,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
181.07,1041,4074,139,Paraxanthine,C7H8N4O2,611-59-6,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
203.053,688,628,149.4,Paraxanthine,C7H8N4O2,611-59-6,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
181.07,1378,2078,134.5,Paraxanthine,C7H8N4O2,611-59-6,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
157.0137,943,13578,135,Hypoxanthine,C5H4N4O,68-94-0,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
135.0317,1307,10547,121,Hypoxanthine,C5H4N4O,68-94-0,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
137.0461,885,2525,130.5,Hypoxanthine,C5H4N4O,68-94-0,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
159.0272,1111,9211,135.9,Hypoxanthine,C5H4N4O,68-94-0,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
175.0232,993,12514,151.7,Xanthine,C5H4N4O2,69-89-6,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
151.0277,846,3903,122.2,Xanthine,C5H4N4O2,69-89-6,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
153.0402,1213,1373,132.9,Xanthine,C5H4N4O2,69-89-6,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
167.0211,812,9447,126.2,Uric Acid,C5H4N4O3,69-93-2,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
191.0181,1516,14231,142.6,Uric Acid,C5H4N4O3,69-93-2,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
167.0205,1182,11023,126.2,Uric Acid,C5H4N4O3,69-93-2,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
169.0362,1232,10966,130.5,Uric Acid,C5H4N4O3,69-93-2,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
158.0434,506,4666,137,Adenine,C5H5N5,73-24-5,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
134.0486,1476,3229,120.6,Adenine,C5H5N5,73-24-5,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
136.0614,1056,5695,125.6,Adenine,C5H5N5,73-24-5,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
190.0121,531,4002,136.2,Guanine,C5H5N5O,73-40-5,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
174.038,821,14208,137.7,Guanine,C5H5N5O,73-40-5,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
181.0721,1136,1141,131.1,Theobromine,C7H8N4O2,83-67-0,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
181.0721,505,11927,137.1,Theobromine,C7H8N4O2,83-67-0,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
300.1624,417,5609,180,Indaziflam,C16H20FN5,950782-86-2,Benzenoids,Indanes,
302.1781,422,14897,168.2,Indaziflam,C16H20FN5,950782-86-2,Benzenoids,Indanes,
324.16,461,5711,173.5,Indaziflam,C16H20FN5,950782-86-2,Benzenoids,Indanes,
358.0846,403,10204,182.4,Indomethacin,C19H16ClNO4,53-86-1,Organoheterocyclic compounds,Indoles and derivatives,Benzoylindoles
380.0666,1654,14660,194.7,Indomethacin,C19H16ClNO4,53-86-1,Organoheterocyclic compounds,Indoles and derivatives,Benzoylindoles
217.0979,628,1373,150.6,N-Acetylserotonin,C12H14N2O2,1210-83-9,Organoheterocyclic compounds,Indoles and derivatives,Hydroxyindoles
219.1122,1514,121,149.8,N-Acetylserotonin,C12H14N2O2,1210-83-9,Organoheterocyclic compounds,Indoles and derivatives,Hydroxyindoles
241.0946,1314,9840,153.8,N-Acetylserotonin,C12H14N2O2,1210-83-9,Organoheterocyclic compounds,Indoles and derivatives,Hydroxyindoles
158.0606,1688,14362,131,Indoleacetaldehyde,C10H9NO,20095-27-6,Organoheterocyclic compounds,Indoles and derivatives,Indoles
160.075,1369,2420,132.4,Indoleacetaldehyde,C10H9NO,20095-27-6,Organoheterocyclic compounds,Indoles and derivatives,Indoles
160.0785,1794,4761,133,Indole-3-ethanol,C10H11NO,526-55-6,Organoheterocyclic compounds,Indoles and derivatives,Indoles
162.0912,1601,2406,133.8,Indole-3-ethanol,C10H11NO,526-55-6,Organoheterocyclic compounds,Indoles and derivatives,Indoles
231.1144,829,1055,155.9,Melatonin,C13H16N2O2,73-31-4,Organoheterocyclic compounds,Indoles and derivatives,Indoles
233.1286,1029,4440,153.5,Melatonin,C13H16N2O2,73-31-4,Organoheterocyclic compounds,Indoles and derivatives,Indoles
271.0841,1650,5878,158.6,Melatonin,C13H16N2O2,73-31-4,Organoheterocyclic compounds,Indoles and derivatives,Indoles
255.1102,548,3172,157.5,Melatonin,C13H16N2O2,73-31-4,Organoheterocyclic compounds,Indoles and derivatives,Indoles
173.0741,1588,14769,135.8,Indole-3-acetamide,C10H10N2O,879-37-8,Organoheterocyclic compounds,Indoles and derivatives,Indoles
175.0862,173,1553,136.2,Indole-3-acetamide,C10H10N2O,879-37-8,Organoheterocyclic compounds,Indoles and derivatives,Indoles
197.0692,573,7709,143.7,Indole-3-acetamide,C10H10N2O,879-37-8,Organoheterocyclic compounds,Indoles and derivatives,Indoles
148.0764,869,1784,130.8,3-Methyl-2-oxindole,C9H9NO,1504-06-9,Organoheterocyclic compounds,Indoles and derivatives,Indolines
203.0832,348,1991,151.7,D-Tryptophan,C11H12N2O2,153-94-6,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives
203.084,549,4339,142.6,D-Tryptophan,C11H12N2O2,153-94-6,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives
